,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
602,Phable,HealthTech,Venture - Series Unknown,220000.0,,"It creates an engagement loop between doctors, hospitals, and patients via its app",2018.0,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",2019
603,Sarva,Yoga & wellness,Venture - Series Unknown,2800000.0,Chennai,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2019
604,IndyFint,Virtual Banking,Series A,2100000.0,Bangalore,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2019.0,Paddy Padmanabhan,Saravanan Adiseshan,2019
605,Zolostays,Accomodation,Venture - Series Unknown,7000000.0,,It offers affordable housing apartments to young professionals and students,2015.0,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,2019
606,Ola,Transportation,Venture - Series Unknown,311000000.0,Bangalore,It enables one to book cab online,2010.0,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",2019
607,Zoomcar,Transport & Rentals,Venture - Series Unknown,4800000.0,Bangalore,A car rental service platform,2013.0,"Greg Moran, David Back",Zoomcar Inc,2019
608,Kratikal,Tech,Pre-series A,1000000.0,Uttar pradesh,Provides cyber security solutions,,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",2019
609,Froogal,Marketing & Customer loyalty,Pre-series A,1000000.0,Hyderabad,A cloud based Customer Loyalty & Engagement Platform,,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,2019
610,Infra.Market,Infratech,Series A,20000000.0,Mumbai,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",,"Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",2019
611,Oyo,Hospitality,Venture - Series Unknown,693000000.0,Gurugram,Provides rooms for comfortable stay,2013.0,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",2019
612,GoMechanic,Automobile & Technology,Series B,5000000.0,Delhi,Find automobile repair and maintenance service providers,2016.0,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,2019
613,Spinny,Automotive,Venture - Series Unknown,50000000.0,Delhi,Online car retailer,2015.0,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",2019
614,Ess Kay Fincorp,Banking,Venture - Series Unknown,33000000.0,Rajasthan,Organised Non-Banking Finance Company,,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",2019
615,Aqgromalin,AgriTech,Venture - Series Unknown,200000.0,Chennai,Cultivating Ideas for Profit,2019.0,"Prasanna Manogaran, Bharani C L",Angel investors,2020
616,Krayonnz,EdTech,Pre-seed,100000.0,Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2019.0,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,2020
617,PadCare Labs,Hygiene management,Pre-seed,,Pune,Converting bio-hazardous waste to harmless waste,2018.0,Ajinkya Dhariya,Venture Center,2020
618,NCOME,Escrow,Venture - Series Unknown,400000.0,Delhi,Escrow-as-a-service platform,2020.0,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",2020
619,Gramophone,AgriTech,Venture - Series Unknown,340000.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2016.0,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",2020
620,qZense,AgriTech,Seed,600000.0,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2019.0,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",2020
621,MyClassboard,EdTech,Pre-series A,600000.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2008.0,Ajay Sakhamuri,ICICI Bank.,2020
622,Metvy,Networking platform,Pre-series,,Gurugram,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2018.0,Shawrya Mehrotra,HostelFund,2020
623,Rupeek,FinTech,Series C,45000000.0,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2015.0,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",2020
624,Gig India,Crowdsourcing,Pre-series A,1000000.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2017.0,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",2020
625,Slurrp Farm,Food & Bevarages,Series A,2000000.0,Gurugram,Slurrp Farm is a children health food brand.,2016.0,Meghana Narayan,Fireside Ventures,2020
626,Medfin,HealthTech,Series A,,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,2017.0,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",2020
627,MasterG,Fashion startup,Venture - Series Unknown,,Delhi,MasterG is a design and skill development organisation.,2015.0,Gayatri Jolly,Acumen Fund's angel programme,2020
628,Brila 91,Food & Bevarages,Venture - Series Unknown,1200000.0,Delhi,Bira 91 is a craft beer company.,2014.0,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",2020
629,FoodyBuddy,FoodTech,Venture - Series Unknown,600000.0,Belgaum,FoodyBuddy is a online food delivery portal,2015.0,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,2020
630,Zomato,Food Delivery,Venture - Series Unknown,660000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2008.0,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",2020
631,OurEye.ai,Virtual auditing startup,Venture - Series Unknown,120000.0,Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020.0,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",2020
632,Shiprocket,E-Commerce,Series C,7500000.0,Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2017.0,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",2020
633,Pine Labs,FinTech,Venture - Series Unknown,,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,1998.0,Amrish Rau,"Mastercard, Temasek Holdings",2020
634,Moneyboxx Finance,FinTech,Venture - Series Unknown,1000000.0,Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2019.0,Prashant Agarwal,"BlackSoil, Caspian",2020
635,EWar,Gaming,Pre-series A,,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,2019.0,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",2020
636,SucSEED Indovation,FinTech,Venture - Series Unknown,5000000.0,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2016.0,Vikrant Varshney,,2020
637,TaxBuddy.com,FinTech,Venture - Series Unknown,1000000.0,Mumbai,TaxBuddy for any tax related issues.,2019.0,Sujit Bangar,Zenith Global,2020
638,Awign Enterprises,Work fulfillment,Venture - Series Unknown,500000.0,Bangalore,Operations and manpower outsourcing startup,2016.0,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",2020
639,Circle of Angels,FinTech,Venture - Series Unknown,3000000.0,Gurugram,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2018.0,Karanpal Singh,,2020
640,CoinDCX,FinTech,Series B,10000000.0,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2017.0,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",2020
641,Glance,AI,Venture - Series Unknown,145000000.0,Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2016.0,Naveen Tewari,Mithril Capital Management.,2020
642,VerSe Innovation,Telecommunication,Venture - Series Unknown,100000000.0,Bangalore,Owner of Dailyhunt App and I-Pay,2007.0,Virendra Gupta,Google,2020
643,Voosh,FoodTech,Pre-seed,,Bangalore,Building India's largest digital food service brand,2020.0,Priyam Saraswat,Better Capital,2020
644,Delhivery,E-Commerce,Venture - Series Unknown,,Gurugram,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2011.0,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",2020
645,Arya,AgriTech,Series B,21000000.0,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",1982.0,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,2020
646,Pickrr,Logistics,Venture - Series Unknown,4000000.0,Delhi,Pickrr is an on-demand first mile logistics company,2015.0,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,2020
647,PhonePe,FinTech,Venture - Series Unknown,20000000.0,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,2015.0,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",2020
648,Countingwell,EdTech,Pre-series A,1000000.0,Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2018.0,Nirmal Shah,"Delhi Private School, UAE, Interstar",2020
649,Callify.ai,Tech,Seed,560000.0,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2016.0,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,2020
650,Hudle,Sports,Pre-series A,,Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2016.0,Suhail Narain,Survam Partners,2020
651,Cover it Up,E-Commerce,Seed,400000.0,Chennai,Online portal that churns out high quality products,2013.0,Ronak Sarda,Angel investors,2020
652,BiteSpeed,E-Commerce,Seed,275000.0,Gurugram,Chat-based commerce for E-commerce brands,2019.0,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,2020
653,WakeFit,Retail,Series B,20000000.0,Bangalore,Wakefitkart is a mattress manufacturing company,2016.0,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,2020
654,Sreyas Holistic Remedies,Medtech,Venture - Series Unknown,1000000.0,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2008.0,Dr Prashant Soma,Blacksoil,2020
655,Fleeca India,Tyre management,Venture - Series Unknown,,Jaipur,FLEECA is a Tyre Care Provider company.,2016.0,Tikam Jain,Bridgestone India,2020
656,M1xchange,FinTech,Venture - Series Unknown,4500000.0,Gurugram,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2017.0,Sundeep Mohindru,"BEENEXT, Mayfield Fund",2020
657,Exotel,Cloud company,Venture - Series Unknown,5000000.0,Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2011.0,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",2020
658,PagarBook,Software company,Series A,15000000.0,Bangalore,"Staff's Salary, Work & Attendance Management Application",2019.0,"Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",2020
659,PointOne Capital,Venture capitalist,Venture - Series Unknown,,Bangalore,Pre-seed/Seed focussed VC investor,2020.0,Mihir Jha,,2020
660,Ayana,Renewable player,Venture - Series Unknown,390000000.0,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,2017.0,Shivanand N,"NIIF Ltd, CDC Group",2020
661,Fisdom,FinTech,Venture - Series Unknown,7000000.0,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,2015.0,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",2020
662,Tinker Coders,EdTech,Seed,,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020.0,Anoop Gautam,STEMROBO Technologies,2020
663,Infinite Uptime,IoT startup,Series B,5100000.0,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2015.0,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",2020
664,HappyLocate,Tech,Pre-series A,500000.0,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2016.0,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,2020
665,PhonePe,FinTech,Venture - Series Unknown,700000000.0,Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2015.0,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,2020
666,Loop Health,HealthTech,Seed,2300000.0,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2017.0,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2020
667,NeoDocs,HealthTech,Pre-seed,,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020.0,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,2020
668,The ePlane,Aero company,Seed,,Chennai,Transforming the mobility landscape using aerial transport.,2016.0,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,2020
669,TagMango,Marketing company,Seed,700000.0,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2019.0,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",2020
670,The New Shop,Retail startup,Seed,500000.0,Delhi,The New Shop is a chain of high speed retail stores,2019.0,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,2020
671,MobiKwik,FinTech,Venture - Series Unknown,7000000.0,Gurugram,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2009.0,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",2020
672,DebugsBunny,EdTech,Venture - Series Unknown,100000.0,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020.0,Sumit Sanjay Singare,India Angel Fund,2020
673,BHIVE Investech,Co-working Startup,Seed,1000000.0,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2014.0,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,2020
674,Rivigo,Logistics,Venture - Series Unknown,19000000.0,Gurugram,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2014.0,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",2020
675,ZipLoan,Finance company,Venture - Series Unknown,3000000.0,Delhi,ZipLoan is a online lending platform,2015.0,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",2020
676,Swipez,FinTech,Venture - Series Unknown,,Pune,Swipez is a payment collection platform.,2014.0,Vivek Iyer,"9Unicorns, Anicut",2020
677,Humus,AgriTech,Venture - Series Unknown,,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2019.0,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",2020
678,Artivatic.ai,Tech,Venture - Series Unknown,,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2017.0,Layak Singh,"SenseAI Ventures, Saurabh Chugh",2020
679,Prescinto,Solar Monitoring Company,Seed,,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2016.0,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",2020
680,Toppeq,Tech,Seed,,Mumbai,SaaS-based equity management platform,2019.0,Nandini Sankar,,2020
681,Bolo Indya,Video sharing platform,Venture - Series Unknown,400000.0,Gurugram,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2019.0,"Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",2020
682,Bombay Play,Gaming startup,Seed,1000000.0,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2017.0,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",2020
683,FreshToHome,E-Commerce,Venture - Series Unknown,,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2015.0,Shan Kadavil,Investment Corporation of Dubai (ICD),2020
